Kaasik Margus,0:35:12,1:11:39,1:40:14,2:04:12,2:25:46,2:46:43,3:15:04.5
Lillsoo Indrek,0:34:59,1:11:30,1:40:14,2:03:56,2:25:41,2:46:45,3:15:06.5
Myllys Tomi,0:36:19,1:13:50,1:42:14,2:05:33,2:26:22,2:47:08,3:15:10.5
Bauman Jaanus,0:34:56,1:11:05,1:39:54,2:03:11,2:24:56,2:46:17,3:15:12.5
Ojaver Siim,0:34:22,1:10:20,1:38:43,2:02:40,2:25:05,2:46:48,3:15:14.5
Gorev Kirill,0:34:24,1:11:36,1:41:01,2:04:59,2:26:32,2:47:07,3:15:16.0
Moumets Mardo,0:34:16,1:10:22,1:38:32,2:02:01,2:24:30,2:46:18,3:15:18.3
Kanep Urmas,0:34:08,1:10:38,1:38:40,2:02:09,2:23:50,2:45:34,3:15:31.9
Köster Raul,0:34:26,1:10:30,1:38:42,2:02:00,2:23:57,2:45:49,3:15:46.5
Poolamets Hannes,0:34:25,1:09:51,1:37:33,2:01:06,2:22:56,2:44:58,3:16:00.8
Ridamäe Alar,0:34:41,1:11:38,1:40:19,2:04:00,2:26:00,2:47:14,3:16:11.9
Raantse Rannar,0:33:49,1:10:20,1:38:43,2:02:49,2:25:28,2:46:56,3:16:12.2
Ahonen Petri,0:34:46,1:11:37,1:40:04,2:03:35,2:25:00,2:46:31,3:16:17.2
Kaldaru Kurmet,0:37:02,1:13:37,1:42:04,2:06:23,2:28:30,2:49:02,3:16:20.2
Tinast Toivo,0:37:25,1:14:44,1:42:38,2:05:35,2:27:00,2:48:03,3:16:22.2
Visnapuu Tarmo,0:37:02,1:11:50,1:39:53,2:03:19,2:25:18,2:46:48,3:16:32.6
Telk Carl-Felix,0:35:10,1:10:25,1:38:33,2:01:20,2:22:52,2:45:55,3:16:41.3
Kovaljov Oleg,0:33:50,1:10:21,1:39:50,2:04:02,2:26:36,2:47:55,3:16:48.2
Vanahans Siim,0:33:56,1:10:34,1:39:16,2:03:05,2:25:15,2:47:02,3:16:49.4
Priks Hanno,0:33:57,1:10:23,1:39:10,2:01:59,2:23:25,2:46:10,3:16:59.4
Witek Katarzyna,0:35:02,1:12:35,1:41:23,2:05:33,2:27:51,2:48:41,3:17:04.5
Raap Ilmar,0:35:48,1:11:49,1:40:03,2:03:47,2:25:43,2:47:05,3:17:04.6
Saarnak Allar,0:35:29,1:12:55,1:41:43,2:05:12,2:26:25,2:47:58,3:17:05.6
Kütson Jaanus,0:36:00,1:11:47,1:39:59,2:03:35,2:25:19,2:47:26,3:17:11.0
Raudik Raimo,0:33:38,1:13:09,1:42:06,2:06:07,2:27:49,2:48:38,3:17:11.2
Lepiksaar Egert,0:31:54,1:05:59,1:32:58,1:55:34,2:17:25,2:41:44,3:17:12.5
